COMB Title,Review,AvgReleaseYearPrice,PriorSaleBrand (M),TotalPriorSalesBrand (M),ConcurrentReleaseBrand,ConcurrentReleaseGenre,PriorReleaseBrand,PriorReleaseGenre,FirstYearUnits,FirstYearSales (M),FirstYearRatio,LTD ASP,LTD Units,LTD Dollars (M)
DIGIMON RUMBLE ARENA 2,66.53333282,35.00,0.00,0.00,0,27,0,54,42260,1.49,68.60%,33.33,65167,2.17
DINO CRISIS 3,55.09999847,47.00,0.00,0.00,0,3,0,4,34888,1.36,90.26%,37.00,41240,1.51
DINO STALKER,58.70000076,32.00,0.00,0.00,0,3,0,7,45046,1.30,84.05%,27.00,57433,1.55
DINOTOPIA: SUNSTONE,48.75,20.00,0.00,0.00,0,7,0,16,10775,0.20,73.50%,18.00,15260,0.27
DISASTER REPORT,71.59999847,33.00,0.00,0.00,0,31,0,50,16161,0.51,81.96%,26.00,23477,0.62
DISGAEA:HOUR DARKNESS,85.59999847,51.00,0.00,0.00,0,15,0,28,117415,5.95,89.57%,50.00,131712,6.64
DISNEY BASKETBALL,44.09999847,39.00,0.00,0.00,0,2,0,7,4208,0.16,94.17%,38.00,4546,0.17
DISNEY EXTREME SKATE,77.76666514,31.67,0.00,0.00,0,15,0,64,225401,6.36,89.30%,27.00,264905,7.12
DISNEY FOOTBALL,62.90000153,39.00,0.00,0.00,0,6,0,2,11671,0.33,98.80%,28.00,11943,0.33
DISNEY GOLF,70.90000153,39.00,0.00,0.00,0,3,0,2,51169,1.60,91.33%,30.00,59274,1.75
DISNEY MAGICAL MIRROR,43.70000076,47.00,0.00,0.00,0,5,0,1,84156,3.52,76.94%,36.00,125356,4.57
DISNEY SKATEBOARDING,39.20000076,39.00,0.00,0.00,0,11,0,3,35488,0.95,88.28%,26.00,41538,1.07
DISNEY SOCCER,75.09999847,39.00,0.00,0.00,0,6,0,1,18152,0.44,90.96%,24.00,20560,0.48
DISNEY'S FINDING NEMO,63.13333257,34.33,0.00,0.00,0,12,0,11,1105611,32.92,70.24%,25.67,1803339,46.87
DISNEYS HIDE & SNEAK,39.09999847,40.00,0.00,0.00,0,17,0,17,17256,0.61,85.88%,33.00,21502,0.71
DISNEY'S JUNGLE BOOK: RHYTHM AND,65.80000305,15.00,0.00,0.00,0,10,0,8,83818,1.23,86.16%,15.00,98163,1.43
DISNEY'S PARTY,40.5,39.00,0.00,0.00,0,3,0,4,30394,1.01,94.22%,32.00,33654,1.08
DISNEY'S TARZAN,63.20000076,50.00,0.00,0.00,0,8,0,1,95882,3.38,79.44%,27.00,157813,4.25
DOA: BEACH VOLLEYBALL,74,47.00,29.16,29.16,0,2,1,2,235978,11.16,90.50%,44.00,281201,12.33
DOCUMENT METAL GEAR 2,75,20.00,0.00,0.00,0,1,0,2,19632,0.36,92.10%,18.00,22207,0.39
DOG'S LIFE,71.59999847,20.00,0.00,0.00,0,40,0,82,82520,1.63,49.31%,20.00,166590,3.30
DONALD DUCK GOIN',62,44.00,0.00,0.00,0,16,0,0,47995,1.95,85.32%,36.00,62463,2.28
DONKEY KONGA W/BONGOS,77.19999695,48.00,0.00,0.00,0,1,0,0,294379,14.01,82.02%,48.00,357270,17.08
DOWNFORCE,71.09999847,27.00,0.00,0.00,0,15,0,28,17414,0.45,93.66%,24.00,19659,0.48
DOWNHILL DOMINATION,78.69999695,40.00,0.00,0.00,0,4,0,31,143587,5.55,90.48%,37.00,166293,6.13
DR. MUTO,71.23333486,31.33,0.00,0.00,0,69,0,20,86783,2.33,85.72%,22.67,113509,2.72
DR. SEUSS THE CAT IN THE HAT,52.29999924,39.00,0.00,0.00,0,25,0,37,220565,7.38,94.67%,31.00,241890,7.79
DRAGON RAGE,48.40000153,30.00,0.00,0.00,0,14,0,0,20997,0.56,93.28%,26.00,23086,0.60
DRAGONBALL Z: BUDOKAI,67.09999847,39.50,0.00,0.00,0,12,0,14,1886237,74.76,93.86%,33.00,2135559,79.66
DRAGONBALL Z: BUDOKAI 2,66.09999847,39.00,74.76,74.76,0,10,2,28,1202101,49.05,92.00%,34.50,1377536,53.32
DRAGONBALL Z: BUDOKAI 3,75.19999695,53.00,94.64,225.60,2,34,4,52,679454,32.52,80.71%,52.50,849267,40.30
DRAGON'S LAIR 3D: RETURN TO THE,65.25,50.00,0.00,0.00,0,11,0,3,43280,1.57,87.24%,31.50,56817,1.81
DRAKAN: ANCIENTS GATE,80.19999695,40.00,0.00,0.00,0,9,0,6,78731,3.14,88.88%,34.00,102548,3.53
DRAKE,21.20000076,36.00,0.00,0.00,0,33,0,24,15533,0.20,62.23%,8.00,37527,0.32
DRAKENGARD,63.40000153,38.00,0.00,0.00,0,20,0,44,141669,5.41,96.50%,37.00,150573,5.61
DRIV3R,59.79999924,46.50,0.00,0.00,0,3,0,9,611543,28.36,93.14%,43.00,706155,30.44
DRIVEN,51.35000038,35.50,0.00,0.00,0,29,0,4,73853,2.25,81.54%,25.00,108079,2.76
DRIVING EMOTION-S,61.09999847,49.00,0.00,0.00,0,23,0,4,29174,1.43,96.04%,47.00,31725,1.49
DROME RACERS,53.60000038,33.50,0.00,0.00,0,32,0,36,53474,1.39,85.61%,24.50,66577,1.63
DROPSHIP:UNITED PEACE,74.59999847,47.00,0.00,0.00,0,4,0,1,31198,1.29,86.74%,37.00,40546,1.49
DUAL HEARTS,71.59999847,34.00,0.00,0.00,0,10,0,17,17275,0.54,85.72%,30.00,20966,0.63
DUEL MASTERS,64.69999695,40.00,0.00,0.00,0,0,0,2,23295,0.93,60.38%,27.00,56592,1.54
DUNGEON & DRAGON:HERO,73.5,48.00,0.00,0.00,0,8,0,5,130874,5.20,90.87%,37.00,153811,5.72
DYNASTY 4:XTREME LGND,70,30.00,17.81,26.31,2,31,2,50,123460,3.72,94.03%,30.00,131656,3.95
DYNASTY TACTICS,76.40000153,50.00,0.00,0.00,0,1,0,3,46055,2.18,95.24%,46.00,49517,2.29
DYNASTY TACTICS 2,75.40000153,49.00,29.08,2.18,0,2,1,5,30638,1.21,85.76%,36.00,38708,1.41
DYNASTY WAR 3:LEGENDS,71.59999847,31.00,17.81,26.31,2,31,2,50,102141,3.16,98.15%,31.00,104233,3.21
DYNASTY WAR 4:EMPIRES,70.40000153,30.00,18.85,52.03,0,40,5,82,114740,3.42,76.02%,30.00,151274,4.49
DYNASTY WARRIORS 2,71.19999695,48.00,0.00,0.00,0,1,0,0,174240,8.50,87.83%,48.00,199905,9.68
DYNASTY WARRIORS 3,76.5,50.00,8.50,8.50,0,35,1,2,397634,19.72,89.28%,47.50,466643,22.08
DYNASTY WARRIORS 4,76.5,48.50,19.72,28.22,2,64,3,74,459894,21.58,87.39%,39.50,594261,24.69
ECCO THE DOLPHIN,68.69999695,33.00,0.00,0.00,0,9,0,6,46255,1.50,89.88%,31.00,54445,1.66
ECHO NIGHT: BEYOND,62,36.00,0.00,0.00,0,3,0,21,4512,0.16,60.71%,27.00,9841,0.27
EGG MANIA: EGGSTREME,67.3666687,25.33,0.00,0.00,0,8,0,3,19588,0.43,78.95%,20.33,27119,0.55
EJAY CLUBWORLD,72,10.00,0.00,0.00,0,10,0,8,45302,0.41,86.38%,8.00,57225,0.47
ELDER SCROLLS 3: MORROWIND,88.10000229,40.00,15.19,15.19,0,12,1,5,657464,23.29,77.14%,29.50,1012152,30.19
ENCLAVE,70.19999695,45.00,0.00,0.00,0,21,0,2,52649,1.91,87.30%,30.00,72123,2.19
ENDGAME,61.70000076,36.00,0.00,0.00,0,3,0,7,24589,0.82,88.77%,30.00,30923,0.92
ENTER THE MATRIX,68.53333537,46.00,0.00,0.00,0,84,0,92,1949093,85.52,94.05%,40.33,2225658,90.93
EPHEMERAL FANTASIA,56.40000153,51.00,0.00,0.00,0,12,0,4,29994,1.49,91.52%,48.00,34084,1.62
ESCAPE FROM MONKEY ISLAND,82.19999695,45.00,0.00,0.00,0,5,0,0,37414,1.65,93.14%,43.00,41663,1.77
ESPN COLLEGE HOOPS,80.35000229,50.00,1.52,14.83,6,13,12,29,115017,4.36,95.24%,36.50,125207,4.58
ESPN COLLEGE HOOPS 2K5,84.79999924,19.50,19.25,61.38,8,8,20,44,312050,6.07,61.25%,19.50,507566,9.91
ESPN INTL. TRACK & FIELD,71.30000305,45.00,0.00,0.00,0,0,0,0,54942,1.88,83.04%,30.00,75947,2.26
ESPN MAJOR LEAGUE BASEBALL,77.54999924,37.00,19.25,61.38,8,7,20,23,134578,5.02,94.88%,36.00,147990,5.30
ESPN MLS EXTRA TIME,65.40000153,50.00,2.99,2.99,3,2,1,1,9088,0.45,78.31%,44.00,12871,0.57
ESPN MLS EXTRA TIME 2002,71.15000153,35.00,0.00,0.00,4,10,0,1,18877,0.65,88.88%,30.50,24127,0.73
ESPN NATIONAL HOCKEY,49.90000153,39.00,2.99,2.99,3,3,1,1,17543,0.64,79.06%,29.00,27931,0.82
ESPN NBA 2 NIGHT,60.5,42.00,2.99,2.99,3,6,1,1,29281,1.22,87.96%,39.00,36031,1.39
ESPN NBA 2 NIGHT 2002,56.89999962,46.50,5.98,11.28,5,18,5,9,15877,0.71,90.19%,37.50,20244,0.79
ESPN NBA 2K5,82.95000076,19.00,19.25,61.38,8,8,20,44,1280314,24.51,78.89%,19.00,1616270,31.07
ESPN NBA BASKETBALL,86.35000229,49.50,1.52,14.83,6,13,12,29,341446,16.40,96.23%,47.00,360568,17.05
ESPN NFL 2K5,89,19.00,19.25,61.38,8,9,20,40,2632393,51.21,91.61%,19.00,2871380,55.90
ESPN NFL FOOTBALL,88.60000229,49.50,1.52,14.83,6,10,12,28,408485,19.25,97.20%,46.00,428464,19.81
ESPN NHL 2K5,85.75,19.00,19.25,61.38,8,3,20,21,441164,8.54,80.83%,19.00,545699,10.57
ESPN NHL HOCKEY,86.44999695,49.50,1.52,14.83,6,5,12,14,141859,6.52,95.45%,44.50,153597,6.83
ESPN WINTER SPORTS 2K2,60.5333341,34.67,5.98,11.28,6,4,5,3,54797,1.88,92.16%,31.00,66796,2.04
ESPN X GAMES: SNOW,71.30000305,48.00,0.00,0.00,0,2,0,0,66388,2.99,88.07%,41.00,82597,3.39
ESPN X GAMES: SNOW 2K2,68.09999847,30.00,5.98,11.28,5,26,5,21,45058,1.46,91.31%,29.00,51395,1.60
ETERNAL DARKNESS,91,49.00,0.00,0.00,0,5,0,1,218574,9.64,87.99%,38.00,288651,10.95
ETERNAL RING,58.29999924,44.00,0.00,0.00,0,3,0,0,52349,1.76,78.33%,29.00,77905,2.25
EVE OF EXTINCTION,58.79999924,40.00,0.00,0.00,0,34,0,15,28866,1.15,93.54%,35.00,35075,1.23
EVERBLUE 2,57.90000153,29.00,0.00,0.00,0,4,0,16,10449,0.30,85.67%,27.00,12825,0.35
EVERGRACE,51.90000153,44.00,0.00,0.00,0,3,0,0,55752,1.91,79.90%,31.00,77714,2.40
EVERQUEST ONLINE ADVT,78.40000153,25.00,0.00,0.00,1,1,0,0,137358,3.36,93.49%,22.00,161447,3.59
EVERQUEST: FRONTIER,78,29.00,0.00,0.00,1,1,0,0,67378,1.94,93.54%,28.00,72973,2.08
EVIL DEAD: FISTFUL,63.70000076,20.00,0.00,0.00,0,8,0,13,194433,3.84,93.88%,19.50,209380,4.09
EVOLUTION SKATEBOARD,51.60000038,40.50,0.00,0.00,0,27,0,17,89329,1.12,76.26%,12.50,123090,1.47
EVOLUTION SNOWBOARD,38.25,39.00,0.00,0.00,0,22,0,29,6653,0.15,87.52%,16.50,8884,0.17
EVOLUTION WORLDS,61.79999924,50.00,0.00,0.00,0,4,0,0,47850,1.72,98.38%,35.00,49532,1.75
EXHIBITION DEMO DISK,,5.00,0.00,0.00,0,0,0,0,135049,0.71,92.50%,5.00,148516,0.77
EXHIBITION DEMO VOL 2,,5.00,21.38,0.71,2,2,1,1,85793,0.45,92.27%,5.00,98993,0.49
EXHIBITION DEMO VOL 3,,6.00,21.38,0.71,2,2,1,1,50492,0.29,90.39%,6.00,57402,0.32
EXHIBITION DEMO VOL 4,,6.00,21.38,0.71,2,2,1,1,38738,0.23,93.51%,6.00,42041,0.25
EXHIBITION DEMO VOL 5,,6.00,0.45,1.69,2,3,4,4,29026,0.17,89.99%,6.00,33585,0.19
EXHIBITION DEMO VOL 6,,6.00,0.45,1.69,2,3,4,4,4051,0.02,45.62%,6.00,9087,0.05
EXHIBITION DEMO VOL 7,,8.00,0.45,1.69,2,3,4,4,1120,0.01,32.50%,8.00,3438,0.03
EXPN X GAMES: SKATE,62,50.00,2.99,2.99,3,10,1,3,126181,5.98,92.75%,45.00,143379,6.44
EXTERMINATION,72.90000153,51.00,0.00,0.00,0,4,0,0,132647,6.30,87.99%,42.00,169534,7.16
EXTREME G3 RACING,80,47.00,0.00,0.00,0,26,0,4,156157,5.90,84.79%,34.00,205509,6.96
EYE TOY,83,49.00,0.00,0.00,0,2,0,2,642496,31.14,93.01%,48.00,695051,33.48
EYE TOY: ANTIGRAV,74.69999695,49.00,31.14,31.14,2,2,1,36,189821,9.37,76.61%,49.00,247841,12.23
EYE TOY: GROOVE,74.30000305,37.50,62.27,62.27,4,26,2,38,94884,3.64,87.18%,35.50,116537,4.18
F1 2001,81.85000229,50.50,2.21,1.87,1,9,1,3,81187,3.67,91.64%,44.00,91986,4.00
F1 2002,73.79999924,50.00,2.07,5.70,0,19,3,11,53238,2.63,88.44%,46.00,63696,2.97
F1 CAREER CHALLENGE,66,38.00,1.92,7.62,0,6,4,25,35146,1.31,90.52%,37.00,39406,1.45
F1 CHAMPIONSHIP SEASON 2000,67.90000153,51.00,0.00,0.00,0,2,0,0,45921,1.87,93.57%,39.00,51422,2.00
FABLE,84.69999695,49.00,0.00,0.00,0,8,0,14,897002,43.82,88.83%,46.00,1064168,49.33
FALLOUT: BROTHERHOOD OF STEEL,64.35000038,39.00,0.00,0.00,0,6,0,18,40546,1.60,90.70%,34.50,50357,1.76
FANTAVISION,71.80000305,46.00,0.00,0.00,0,1,0,0,52468,1.96,72.13%,25.00,108350,2.71
FATAL FRAME,81.05000305,50.00,0.00,0.00,0,5,0,6,73959,3.62,86.98%,45.00,90460,4.16
FATAL FRAME II,82.69999695,50.00,0.00,0.00,0,5,0,9,57115,2.74,96.08%,46.00,61264,2.85
FATAL FRAME II DIR CT,84.59999847,50.00,0.00,0.00,0,2,0,8,7420,0.37,48.60%,44.00,17156,0.76
FERRARI F355 CHALLENGE,66.5,49.00,0.00,0.00,0,15,0,28,16387,0.75,86.92%,43.00,20305,0.87
FIFA 2001,82.09999847,50.00,0.00,0.00,0,0,0,0,191274,9.36,90.46%,47.00,219717,10.35
FIFA SOCCER 2002,80.20000076,50.00,9.37,9.36,0,2,1,1,335324,14.51,94.00%,41.00,363230,15.43
FIFA SOCCER 2003,83.26666514,47.00,14.51,23.87,3,14,3,5,504488,20.67,94.66%,38.00,545335,21.84
FIFA SOCCER 2004,82,49.67,21.04,58.86,0,3,9,22,647944,27.24,95.72%,42.33,686719,28.46
FIFA SOCCER 2005,81.90000153,49.00,27.24,86.11,0,6,12,28,416779,20.50,63.09%,41.33,785955,32.49
FIGHT CLUB,37.14999962,47.50,0.00,0.00,0,25,0,43,42652,2.01,60.19%,33.00,100056,3.35
FIGHT NIGHT 2004,84.04999924,48.00,0.00,0.00,0,2,0,10,1026711,48.87,93.00%,43.00,1212662,52.55
FIGHTER MAKER 2,58.70000076,44.00,0.00,0.00,0,9,0,7,19842,0.65,83.20%,30.00,26598,0.79
FINAL FANTASY CRYSTAL,80.40000153,48.00,0.00,0.00,0,12,0,12,411434,19.65,92.93%,46.00,463591,21.15
FINAL FANTASY X,91.40000153,51.00,0.00,0.00,0,12,0,4,1508837,75.47,81.49%,40.00,2291428,92.61
FINAL FANTASY X-2,85.90000153,50.00,75.47,75.47,0,15,1,28,1261320,58.37,94.32%,44.00,1415781,61.88
FINAL FANTASY XI,86,97.00,58.37,133.84,1,1,2,2,246438,23.87,92.00%,96.00,270005,25.94
FINAL FANTASY XI CHAINS OF PROMA,78.40000153,30.00,58.37,133.84,1,1,2,2,74090,2.21,84.91%,28.00,92069,2.60
FIREBLADE,63.53333537,29.00,0.00,0.00,0,2,0,5,102456,3.28,83.89%,25.33,133349,3.90
FIREFIGHTER F.D. 18,62,38.00,0.00,0.00,0,40,0,82,25757,0.97,96.70%,37.00,26908,1.00
FISHERMAN'S BASS CLUB,58,14.00,0.00,0.00,0,2,0,1,201512,2.65,58.12%,11.00,397230,4.55
FISHERMAN'S CHALLENGE,63.09999847,22.00,0.00,0.00,0,2,0,4,15463,0.35,97.62%,22.00,15760,0.35
FORD RACING 2,63.25,15.00,0.00,0.00,0,37,0,59,331486,3.53,75.16%,11.50,449429,4.69
FOREVER KINGDOM,66,44.00,0.00,0.00,0,10,0,17,17267,0.75,93.05%,42.00,19415,0.81
FORGOTTEN REALMS: DEMON STONE,72.64999771,38.50,0.00,0.00,0,28,0,58,60828,2.51,67.89%,33.50,106994,3.69
FORMULA ONE 2001,77.5,43.00,2.21,1.87,1,7,1,3,49516,1.75,63.74%,27.00,100885,2.75
FREAKY FLYERS,68.33333333,26.00,0.00,0.00,0,54,0,67,47104,0.89,82.78%,18.00,62786,1.08
FREEDOM FIGHTERS,82.93333181,49.67,0.00,0.00,0,13,0,6,317759,12.10,87.76%,34.00,397361,13.79
FREEKSTYLE,78.15000153,28.50,0.00,0.00,0,27,0,17,268846,7.31,68.03%,22.00,462666,10.75
FREESTYLE METAL X,70.86666361,24.33,0.00,0.00,0,14,0,40,43775,1.16,87.00%,21.00,54434,1.33
FREESTYLE STREET SOCCER,41.40000153,14.00,0.00,0.00,0,3,0,16,388,0.01,47.32%,15.50,958,0.01
FREQUENCY,84.5,49.00,0.00,0.00,0,2,0,0,51070,1.54,80.34%,26.00,73237,1.92
FROGGER BEYOND,57.25,34.00,0.00,0.00,0,25,0,2,124414,3.32,97.27%,27.50,129636,3.42
FROGGER: GREAT QUEST,31.5,47.00,0.00,0.00,0,8,0,1,341111,12.48,86.06%,30.00,478718,14.50
FROGGER'S ADVENTURES: THE RESCUE,64.24999809,30.00,14.46,14.46,0,33,2,42,195416,5.36,90.94%,27.00,219432,5.89
FRONT MISSION 4,75.09999847,38.00,0.00,0.00,0,2,0,8,87623,3.37,92.00%,34.00,107470,3.66
FUGITIVE HUNTER: WAR,40.5,25.00,0.00,0.00,0,8,0,19,45573,0.98,89.14%,21.00,52997,1.10
FULL SPECTRUM WARRIOR,83.5,47.00,0.00,0.00,0,4,0,10,306915,14.28,90.93%,42.00,376623,15.71
FUNKMASTER FLEX DIGITAL HITZ FAC,75.5,27.00,0.00,0.00,0,26,0,38,11706,0.36,73.28%,25.00,17262,0.49
FUR FIGHTERS: REVENGE,69.80000305,28.00,0.00,0.00,0,14,0,0,40058,1.05,80.56%,24.00,55198,1.30
FURIOUS KARTING,58.5,24.00,0.00,0.00,0,20,0,15,6498,0.15,88.61%,22.00,7909,0.17
FUTURAMA,62.75,40.00,0.00,0.00,0,64,0,74,40943,1.44,84.71%,31.50,53348,1.69
FUTURE TACTICS: THE UPRISING,62.46666718,12.33,0.00,0.00,0,40,0,70,35122,0.42,78.64%,11.00,49226,0.53
FUZION FRENZY,65.19999695,49.00,0.00,0.00,0,0,0,0,190129,6.92,43.84%,25.00,642892,15.78
F-ZERO GX,89.09999847,49.00,0.00,0.00,0,17,0,8,247905,10.25,90.02%,37.00,307312,11.38
G1 JOCKEY 3,67.5,51.00,0.00,0.00,0,3,0,5,10621,0.51,85.54%,45.00,13324,0.59
GADGET RACERS,70.19999695,38.00,0.00,0.00,0,23,0,4,24571,0.82,84.79%,31.00,30889,0.96
GALACTIC WRESTLING,59.29999924,37.00,0.00,0.00,0,3,0,8,12668,0.47,83.29%,34.00,16544,0.56
GALERIANS: ASH,54.40000153,26.00,0.00,0.00,0,5,0,9,16559,0.42,78.97%,20.00,26105,0.53
GALLEON,68.19999695,34.00,0.00,0.00,0,5,0,15,7503,0.25,71.11%,27.00,13278,0.36
GALLOP RACER,69.90000153,48.00,0.00,0.00,0,1,0,1,33773,1.52,82.83%,43.00,42915,1.84
GALLOP RACER 2003,70,49.00,1.52,1.52,0,3,1,5,28861,1.38,87.10%,45.00,35206,1.58
GALLOP RACER 2004,72.09999847,50.00,1.38,2.90,0,1,2,9,18050,0.89,75.43%,49.00,24286,1.19
GAUNTLET: DARK LEGACY,60.5,49.67,0.00,0.00,0,49,0,5,381188,17.33,73.87%,40.00,658183,23.46
GENMA ONIMUSHA,80.5,44.00,0.00,0.00,0,2,0,1,85022,3.74,90.48%,37.00,111774,4.13
GET ON DA MIC,50.90000153,40.00,0.00,0.00,0,26,0,38,42857,1.89,66.32%,34.00,76822,2.84
GHOST IN SHELL: STAND,66.40000153,49.00,0.00,0.00,0,40,0,82,19692,0.97,53.81%,38.00,47619,1.81
GHOST RECON: ISLAND,80.90000153,38.00,0.00,0.00,0,7,0,2,363948,11.84,85.44%,30.00,460830,13.86
GHOSTHUNTER,72.30000305,49.00,0.00,0.00,0,8,0,15,15529,0.76,69.35%,39.00,28135,1.10
GIANTS: CITIZEN KABUTO,79.5,53.00,0.00,0.00,0,5,0,0,16542,0.55,85.84%,26.00,24714,0.64
GITAROO MAN,82.19999695,39.00,0.00,0.00,0,4,0,3,14245,0.54,87.38%,33.00,18744,0.62
GLADIATOR: SWORD OF VENGEANCE,65,47.00,0.00,0.00,0,64,0,74,56063,1.62,86.73%,26.00,72347,1.86
GLADIUS,76.73333232,50.33,0.00,0.00,0,29,0,38,168335,6.92,91.19%,37.67,199288,7.59
GO! GO! HYPERGRIND,68.69999695,23.00,0.00,0.00,0,6,0,15,17616,0.30,90.01%,17.00,20111,0.33
GOBLIN COMMANDER: UNLEASH THE HO,71.59999847,42.00,0.00,0.00,0,3,0,6,101909,2.97,91.75%,30.67,117813,3.23
GODAI:ELEMENTAL FORCE,30,29.00,0.00,0.00,0,34,0,15,15407,0.45,73.60%,21.00,29245,0.61
GODZILLA: DESTROY MELEE,71.20000076,44.00,0.00,0.00,0,14,0,8,382642,13.95,81.84%,31.50,541444,17.05
GODZILLA: SAVE THE EARTH,61.39999962,39.00,1.73,1.73,0,25,1,43,109871,4.31,59.31%,33.00,223049,7.27
GOLDENEYE: ROGUE AGENT,63.13333384,49.00,70.07,145.54,3,18,6,58,430075,20.93,73.18%,41.33,686514,28.60
GOTCHA FORCE,63.09999847,40.00,0.00,0.00,0,20,0,18,9356,0.37,95.96%,39.00,9868,0.39
GRABBED BY GHOULIES,71.09999847,39.00,0.00,0.00,0,33,0,24,71102,2.23,90.18%,30.00,83037,2.47
GRADIUS III & IV,55.20000076,42.00,0.00,0.00,0,0,0,0,28971,1.05,92.08%,36.00,32032,1.14
GRADIUS V,82.80000305,31.00,1.05,1.05,0,2,1,5,24987,0.77,76.55%,30.00,32859,1.00
GRAN TURISMO 3:A-SPEC,94.19999695,50.00,0.00,0.00,0,23,0,4,2068699,79.52,69.08%,31.00,3752119,115.12
GRAND PRIX CHALLENGE,76.40000153,27.00,0.00,0.00,0,6,0,25,26924,0.71,90.39%,25.00,31920,0.79
GRAND THEFT AUTO 3,94.90000153,50.00,0.00,0.00,0,0,0,0,3985737,199.26,81.76%,44.00,5577729,243.72
GRAND THEFT AUTO PACK,93.80000305,43.50,265.49,464.75,0,5,2,2,1804589,79.07,89.46%,42.00,2039956,88.38
GRAND THEFT AUTO: SAN ANDREAS,,49.00,23.02,487.78,0,2,3,6,5144214,252.86,89.22%,49.00,5791407,283.39
GRAND THEFT AUTO: VICE CITY,94.19999695,49.00,199.26,199.26,0,0,1,1,5585323,265.49,90.60%,44.00,6659393,293.02
GRANDIA 2,70.59999847,36.00,0.00,0.00,1,10,0,17,87607,3.12,85.52%,32.00,114811,3.64
GRANDIA XTREME,71,51.00,0.00,0.00,1,10,0,17,50230,2.54,96.31%,50.00,52823,2.63
GRAVITY GAMES BIKE,29.89999962,25.50,0.00,0.00,0,21,0,32,35112,1.06,84.92%,22.50,45319,1.25
GRETZKY NHL 2005,67.40000153,39.00,0.00,0.00,0,2,0,12,27707,1.08,64.98%,37.00,45205,1.67
GROOVERIDER: SLOT CAR,52.79999924,20.00,0.00,0.00,0,37,0,23,12873,0.25,83.84%,19.50,15486,0.30
GROUP S CHALLENGE,56.5,40.00,0.00,0.00,0,6,0,8,7568,0.18,79.50%,22.00,10617,0.23
GROWLANSER: GENERATIONS,79.90000153,69.50,0.00,0.00,0,40,0,88,30979,1.94,57.37%,67.00,57357,3.38
GTC AFRICA,66.40000153,28.00,0.00,0.00,0,13,0,11,33519,0.91,91.24%,27.00,37661,1.00
GUILTY GEAR ISUKA,75.40000153,50.00,2.72,4.42,0,17,2,26,16153,0.80,63.63%,47.00,26798,1.26
GUILTY GEAR X,81,42.00,0.00,0.00,0,2,0,4,41267,1.71,88.62%,40.00,47896,1.93
GUILTY GEAR X2,86.69999695,40.00,2.54,1.71,0,8,1,17,69234,2.72,94.12%,37.00,77057,2.89
GUILTY GEAR X2:RELOAD,84.5,20.00,0.00,0.00,0,8,0,17,54220,1.06,75.07%,20.00,72073,1.41
GUN METAL,68.19999695,41.00,0.00,0.00,0,0,0,0,55068,2.17,89.85%,37.00,65787,2.42
GUNDAM: ENCOUNTERS,59.29999924,42.00,4.04,13.25,0,2,3,13,40272,1.63,98.38%,40.00,41125,1.66
GUNDAM: FED VS ZEON,66.5,48.00,5.81,5.81,1,7,1,5,87486,4.04,92.61%,44.00,98544,4.36
GUNDAM: JABURO,56.20000076,51.00,0.00,0.00,0,1,0,3,119391,5.81,93.69%,47.00,131686,6.20
GUNDAM: ZEONIC FRONT,68.40000153,50.00,5.81,5.81,1,7,1,5,67655,3.40,98.21%,50.00,69379,3.46
GUNGRAVE,65.80000305,50.00,0.00,0.00,0,34,0,15,60192,1.78,87.25%,27.00,76291,2.05
GUNGRAVE: OVERDOSE,69.19999695,16.00,1.78,1.78,0,40,1,82,33529,0.55,73.21%,16.00,47580,0.75
GUNGRIFFON BLAZE,72.19999695,49.00,0.00,0.00,0,2,0,0,26662,1.04,76.12%,32.00,43140,1.37
GUNGRIFFON: ALLIED,53.09999847,50.00,0.00,0.00,0,3,0,8,2205,0.11,26.87%,43.00,9535,0.41
GUNVALKYRIE,73,41.00,0.00,0.00,0,21,0,2,71241,2.74,89.23%,32.00,95634,3.08
HALF-LIFE,82.69999695,51.00,0.00,0.00,0,6,0,3,166602,7.26,85.70%,36.00,233898,8.47
HALO 2,95,52.00,170.50,170.50,2,22,2,38,4288396,220.02,90.83%,51.50,4769353,242.22
HALO: COMBAT EVOLVED,,49.00,0.00,0.00,0,0,0,0,1757441,85.25,52.18%,40.00,4127862,163.40
HARD HITTER TENNIS,,12.00,0.00,0.00,0,3,0,0,72824,0.79,66.00%,10.00,115863,1.19
HARRY POTTER AND THE CHAMBER OF,74.40000153,49.33,0.00,0.00,0,20,0,9,1064859,47.03,90.49%,38.33,1346926,51.97
HARRY POTTER AND THE PRISONER OF,69.03333537,36.00,20.41,72.61,0,10,9,46,527663,18.96,88.25%,33.33,652096,21.48
HARRY POTTER AND THE SORCERER'S,62.20000076,30.00,171.87,47.03,3,11,3,32,180903,5.17,94.72%,28.33,191610,5.46
HARRY POTTER: QUIDDITCH WORLD CU,70.00000254,39.67,171.87,47.03,3,5,3,10,611565,20.41,92.42%,31.33,704219,22.08
HARVEST MOON: SAVE,75.59999847,49.00,0.00,0.00,0,12,0,4,60943,2.58,60.16%,30.00,144084,4.28
HARVEST MOON:WONDRFUL,78.80000305,34.00,0.00,0.00,0,12,0,12,318369,10.89,81.16%,30.00,444926,13.42
HAVEN: CALL OF KING,70.69999695,38.00,0.00,0.00,0,34,0,15,76211,1.18,80.11%,13.00,110380,1.47
